lat,lon,inUS,Within 500mi of Riyadh,Distance_from_Riyadh(in mi),Within 500mi of Tokyo,Distance_from_Tokyo(in mi),Within 500mi of Mexico City,Distance_from_Mexico City(in mi),Within 500mi of Lima,Distance_from_Lima(in mi),Within 500mi of Reykjavik,Distance_from_Reykjavik(in mi),Within 500mi of Zurich,Distance_from_Zurich(in mi),Within 500mi of Sydney,Distance_from_Sydney(in mi)
-40.813454,-62.996677,N,N,"8,314.539",N,"11,156.233",N,"4,764.254",N,"2,162.502",N,"7,588.548",N,"7,501.658",N,"6,834.954"
-40.75,-71.416664,N,N,"8,752.748",N,"10,718.035",N,"4,522.501",N,"2,012.18",N,"7,730.275",N,"7,807.656",N,"6,609.75"
-40.75,-70.5,N,N,"8,704.828",N,"10,765.986",N,"4,545.951",N,"2,022.387",N,"7,713.274",N,"7,773.007",N,"6,636.632"
-40.75,-63.75,N,N,"8,353.052",N,"11,117.859",N,"4,737.419",N,"2,140.961",N,"7,596.466",N,"7,525.24",N,"6,820.011"
-40.666668,-73.083336,N,N,"8,839.774",N,"10,630.855",N,"4,476.4",N,"1,991.763",N,"7,756.507",N,"7,867.321",N,"6,564.399"
-40.25,-71.2,N,N,"8,739.694",N,"10,730.1",N,"4,497.797",N,"1,980.656",N,"7,693.941",N,"7,775.564",N,"6,644.694"
-40.25,-64.25,N,N,"8,374.769",N,"11,095.897",N,"4,694.036",N,"2,098.451",N,"7,571.778",N,"7,517.938",N,"6,837.504"
-40.25,-62.916668,N,N,"8,305.081",N,"11,165.752",N,"4,735.538",N,"2,129.907",N,"7,550.181",N,"7,470.154",N,"6,871.251"
-40.166668,-73.166664,N,N,"8,843.117",N,"10,626.327",N,"4,443.682",N,"1,956.945",N,"7,725.972",N,"7,846.995",N,"6,589.921"
-40.0,-72.666664,N,N,"8,816.28",N,"10,652.596",N,"4,445.685",N,"1,949.492",N,"7,705.616",N,"7,819.835",N,"6,614.646"
-40.0,-72.5,N,N,"8,807.467",N,"10,661.416",N,"4,449.808",N,"1,950.912",N,"7,702.42",N,"7,813.415",N,"6,619.74"
-40.0,-67.0,N,N,"8,517.162",N,"10,952.404",N,"4,597.781",N,"2,026.016",N,"7,601.906",N,"7,605.844",N,"6,779.305"
-39.8276,-73.22424,N,N,"8,845.343",N,"10,622.815",N,"4,421.464",N,"1,933.322",N,"7,705.285",N,"7,833.231",N,"6,607.165"
-39.75,-71.333336,N,N,"8,744.816",N,"10,723.091",N,"4,464.187",N,"1,945.398",N,"7,664.141",N,"7,756.718",N,"6,669.236"
-39.583332,-68.5,N,N,"8,593.697",N,"10,873.816",N,"4,530.722",N,"1,972.807",N,"7,601.25",N,"7,641.22",N,"6,761.786"
-39.5,-70.333336,N,N,"8,690.59",N,"10,776.165",N,"4,475.486",N,"1,940.526",N,"7,629.285",N,"7,706.504",N,"6,713.348"
-39.5,-69.5,N,N,"8,646.293",N,"10,820.591",N,"4,498.057",N,"1,951.955",N,"7,613.943",N,"7,674.857",N,"6,737.81"
-39.5,-66.5,N,N,"8,487.1",N,"10,980.488",N,"4,583.583",N,"2,003.306",N,"7,560.584",N,"7,562.556",N,"6,822.602"
-39.5,-64.5,N,N,"8,381.263",N,"11,086.977",N,"4,644.173",N,"2,045.96",N,"7,526.671",N,"7,489.153",N,"6,876.2"
-39.166668,-71.0,N,N,"8,724.504",N,"10,740.141",N,"4,437.776",N,"1,909.842",N,"7,620.158",N,"7,715.914",N,"6,712.549"
-39.0,-72.416664,N,N,"8,799.604",N,"10,663.787",N,"4,390.955",N,"1,883.554",N,"7,636.373",N,"7,762.628",N,"6,678.745"
-39.0,-70.0,N,N,"8,670.16",N,"10,793.459",N,"4,454.691",N,"1,911.556",N,"7,590.701",N,"7,669.563",N,"6,751.99"
-39.0,-69.833336,N,N,"8,661.241",N,"10,802.405",N,"4,459.254",N,"1,913.895",N,"7,587.62",N,"7,663.203",N,"6,756.922"
-39.0,-62.75,N,N,"8,283.675",N,"11,182.564",N,"4,671.898",N,"2,058.179",N,"7,465.159",N,"7,400.34",N,"6,951.572"
-38.951607,-68.059105,N,N,"8,566.045",N,"10,897.646",N,"4,506.304",N,"1,938.794",N,"7,552.227",N,"7,593.6",N,"6,811.283"
-38.86667,146.0,N,N,"7,740.221",N,"5,166.197",N,"8,371.556",N,"7,957.663",N,"10,621.279",N,"10,241.123",Y,450.104
-38.856804,-60.07333,N,N,"8,140.181",N,"11,326.759",N,"4,753.524",N,"2,124.982",N,"7,413.854",N,"7,297.534",N,"7,026.005"
